video_id,title,url,published_at,channel_title,status,error_message,duration_seconds,duration_category,view_count,like_count,comment_count,language,default_language
oUTtkK-biG8,Are They Lying… or Hiding the Truth? - Ep 883 CTI,https://www.youtube.com/watch?v=oUTtkK-biG8,5/20/2025 14:01,Andy Frisella,failed,"No transcripts available for video oUTtkK-biG8: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=oUTtkK-biG8! This is most likely caused by:

The video is unplayable for the following reason: The following content may contain suicide or self-harm topics.

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!",5291,long,50067,1764,595,en-US,en
kUIB-TTn_Eg,REAL LIFE GTA,https://www.youtube.com/watch?v=kUIB-TTn_Eg,3/3/2025 17:54,Andy Frisella,failed,"No transcripts available for video kUIB-TTn_Eg: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=kUIB-TTn_Eg! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!",25,short,6841,1061,55,en-US,en
HOjyS_aa3zE,Why Most People Can’t Handle Leadership - Ep 938 Q&AF,https://www.youtube.com/watch?v=HOjyS_aa3zE,9/15/2025 14:00,Andy Frisella,failed,Youtube Connection Error,3444,long,37004,818,122,en-US,en
1UB0Fj1hyFY,It's ALL About To Come Out... - Ep. 516 C.T.I.,https://www.youtube.com/watch?v=1UB0Fj1hyFY,5/16/2023 14:00,Andy Frisella,failed,"No transcripts available for video 1UB0Fj1hyFY: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=1UB0Fj1hyFY! This is most likely caused by:

This video is age-restricted. Therefore, you are unable to retrieve transcripts for it without authenticating yourself.

Unfortunately, Cookie Authentication is temporarily unsupported in youtube-transcript-api, as recent changes in YouTube's API broke the previous implementation. I will do my best to re-implement it as soon as possible.

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!",3461,long,99760,5907,1360,en-US,en
SYfGyxxMhU4,Learn How To Build An Empire - Alex Hormozi - Ep 485 Full Length,https://www.youtube.com/watch?v=SYfGyxxMhU4,3/10/2023 15:06,Andy Frisella,failed,"No transcripts available for video SYfGyxxMhU4: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=SYfGyxxMhU4! This is most likely caused by:

This video is age-restricted. Therefore, you are unable to retrieve transcripts for it without authenticating yourself.

Unfortunately, Cookie Authentication is temporarily unsupported in youtube-transcript-api, as recent changes in YouTube's API broke the previous implementation. I will do my best to re-implement it as soon as possible.

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!",10492,long,211722,7878,612,en-US,en
lWDFwsNxZPI,Why You NEED To Develop These Two Skills For Personal Growth - Ep 504 Q&AF,https://www.youtube.com/watch?v=lWDFwsNxZPI,4/24/2023 14:00,Andy Frisella,failed,"No transcripts available for video lWDFwsNxZPI: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=lWDFwsNxZPI! This is most likely caused by:

This video is age-restricted. Therefore, you are unable to retrieve transcripts for it without authenticating yourself.

Unfortunately, Cookie Authentication is temporarily unsupported in youtube-transcript-api, as recent changes in YouTube's API broke the previous implementation. I will do my best to re-implement it as soon as possible.

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!",2700,long,39836,1113,72,en-US,en
nDFl1t2Bbno,The Dollars are in the Details,https://www.youtube.com/watch?v=nDFl1t2Bbno,8/11/2025 16:20,Andy Frisella,failed,"No transcripts available for video nDFl1t2Bbno: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=nDFl1t2Bbno! This is most likely caused by:

This video is age-restricted. Therefore, you are unable to retrieve transcripts for it without authenticating yourself.

Unfortunately, Cookie Authentication is temporarily unsupported in youtube-transcript-api, as recent changes in YouTube's API broke the previous implementation. I will do my best to re-implement it as soon as possible.

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!",40,short,35115,2019,48,en-US,en
WY6ambRv3_4,Follow The Recipe 👨‍🍳,https://www.youtube.com/watch?v=WY6ambRv3_4,5/5/2025 16:00,Andy Frisella,failed,Youtube Connection Error,46,short,11102,731,10,en-US,en
82V_oQyXlQE,3 Steps to Harnessing Negativity to Produce Wins - Ep 613 REAL TALK,https://www.youtube.com/watch?v=82V_oQyXlQE,12/14/2023 15:00,Andy Frisella,failed,Youtube Connection Error,793,medium,207545,2050,95,en-US,en
X8_oqMTlJNQ,Jim Jordan's Facebook Files Reveal Shocking Information About The Hunter Biden Laptop Story - Ep 558,https://www.youtube.com/watch?v=X8_oqMTlJNQ,8/8/2023 14:00,Andy Frisella,failed,"No transcripts available for video X8_oqMTlJNQ: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=X8_oqMTlJNQ! This is most likely caused by:

This video is age-restricted. Therefore, you are unable to retrieve transcripts for it without authenticating yourself.

Unfortunately, Cookie Authentication is temporarily unsupported in youtube-transcript-api, as recent changes in YouTube's API broke the previous implementation. I will do my best to re-implement it as soon as possible.

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!",4551,long,35387,3388,1038,en-US,en
